Mean Score: 110.1, Standard Deviation: 33.091841894944444, Minimum: 63, Maximum: 275, Games: 100
Mean Score: 117.38, Standard Deviation: 27.856697578858842, Minimum: 65, Maximum: 212, Games: 100
Mean Score: 108.26, Standard Deviation: 28.468796953858092, Minimum: 53, Maximum: 217, Games: 100
Mean Score: 112.78, Standard Deviation: 28.247329077277374, Minimum: 53, Maximum: 207, Games: 100
Mean Score: 111.29, Standard Deviation: 26.07538877946022, Minimum: 64, Maximum: 185, Games: 100
Mean Score: 114.08, Standard Deviation: 30.48234899085043, Minimum: 68, Maximum: 235, Games: 100
Mean Score: 114.57, Standard Deviation: 28.81432109212361, Minimum: 73, Maximum: 222, Games: 100
Mean Score: 108.83, Standard Deviation: 29.942296171135574, Minimum: 61, Maximum: 204, Games: 100
Mean Score: 110.46, Standard Deviation: 27.420583509473307, Minimum: 61, Maximum: 234, Games: 100
Mean Score: 112.1, Standard Deviation: 27.322335185704755, Minimum: 59, Maximum: 205, Games: 100
Mean Score: 111.41, Standard Deviation: 24.37543640634973, Minimum: 71, Maximum: 177, Games: 100
Mean Score: 111.39, Standard Deviation: 25.85803356792624, Minimum: 51, Maximum: 177, Games: 100
Mean Score: 113.98, Standard Deviation: 26.668325781720913, Minimum: 55, Maximum: 180, Games: 100
Mean Score: 107.99, Standard Deviation: 26.269942900585075, Minimum: 56, Maximum: 184, Games: 100
Mean Score: 108.34, Standard Deviation: 26.2557498464622, Minimum: 57, Maximum: 179, Games: 100
Mean Score: 109.06, Standard Deviation: 24.18256396662687, Minimum: 61, Maximum: 178, Games: 100
Mean Score: 110.43, Standard Deviation: 22.235671791065815, Minimum: 75, Maximum: 183, Games: 100
Mean Score: 111.48, Standard Deviation: 27.44867209902876, Minimum: 59, Maximum: 196, Games: 100
Mean Score: 113.71, Standard Deviation: 29.70565434391237, Minimum: 48, Maximum: 204, Games: 100
Mean Score: 114.85, Standard Deviation: 27.25045871173548, Minimum: 56, Maximum: 203, Games: 100
Mean Score: 125.64, Standard Deviation: 32.9992484762911, Minimum: 66, Maximum: 244, Games: 100
Mean Score: 117.75, Standard Deviation: 35.52952997156028, Minimum: 56, Maximum: 244, Games: 100
Mean Score: 128.89, Standard Deviation: 37.35422198359912, Minimum: 70, Maximum: 254, Games: 100
Mean Score: 124.08, Standard Deviation: 34.00431737294546, Minimum: 76, Maximum: 267, Games: 100
Mean Score: 114.8887, Standard Deviation: 28.76182734650216, Minimum: 51, Maximum: 267, Games: 10000
Mean Score: 114.483, Standard Deviation: 27.761514926242743, Minimum: 51, Maximum: 242, Games: 1000
